gender,age,no_of_people_contribute_income,relationship_status,children_status,financially_independent,occupation,housing situation,have_roomates,country,living environment,commute,highest level of education attained?,gross_annual_wage,total_portfolio,amount_for_fi,amount_for_re,curr_percentage_of_fi,frequency_of_checking_balance,do_you_move_when_fi,how_financially_stable_childhood_home,parent/guardian_financial_status,did_parent/guardian_teach_about_money,age_when_financially_literate,age_when_learnt_about_fi,education,job,housing_situation,location,spending_habits,frugality,logical_thinking,creativity,drive_for_self_improvement,importance_of_relationship,internet_consumption,introversion,religiousness_level,response_release_consent
Male,28,1,"In a relationship, but not married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",110000,53000,1000000,1200000,5.3,Multiple times per week,Unsure,Somewhat Stable,Middle Class,"No, we did not talk about it",21,25,No,Yes,Yes,Yes,Yes,3,5,2,4,4,4,4,1,Yes
Male,32,2,"In a relationship, but not married",Plan Children,No,Legal Occupations,Rent,Yes,United States of America,Suburban,10-30 minutes,Associate's Degree or Trade School,38000,0,10000,1000000,0,Multiple times per week,"Yes, within my country",Mostly Stable,Middle Class,"No, they were not financially savvy",26,30,Yes,Yes,Yes,Yes,Yes,1,4,3,4,4,3,3,1,Yes
Male,29,1,"Single, never married",Do not plan to have children,No,"Arts, Design, Entertainment, Sports, and Media Occupations",Rent,No,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",65000,33277,1500000,1000000,5,Multiple times a day,Unsure,Mostly Stable,Upper-Middle Class,"No, we did not talk about it",25,29,No,No,Yes,No,Yes,3,4,4,3,1,5,2,1,Yes
Male,25,1,"In a relationship, but not married",Plan Children,No,Architecture and Engineering Occupations,Rent,Yes,United States of America,Urban,10-30 minutes,Some graduate school,75000,70000,1000000,1500000,5,Multiple times per week,"Yes, within my country",Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",16,23,Yes,Yes,Yes,No,Yes,4,5,2,3,3,3,4,1,Yes
Male,32,2,Married,Have Children,No,Business and Financial Operations Occupations,Own,No,United States of America,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",120000,45000,650000,1300000,10,Multiple times per week,No,Mostly Unstable,Middle Class,"No, we did not talk about it",30,32,No,No,No,No,Yes,3,4,3,2,4,4,3,1,Yes
Male,30,1,"In a relationship, but not married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Own,Yes,United States of America,Urban,10-30 minutes,Graduate degree,140000,177000,750000,1250000,27,Weekly,Unsure,Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",19,29,No,No,No,No,No,4,4,4,4,3,4,3,1,Yes
Male,23,1,"Single, never married",Do not plan to have children,No,Architecture and Engineering Occupations,Rent,No,United States of America,Urban,<10 minutes,Some graduate school,68000,30000,1375000,2000000,2,Daily,Unsure,Mostly Stable,Upper-Middle Class,"No, we did not talk about it",22,22,No,Yes,Yes,Yes,No,3,5,4,5,2,3,2,1,Yes
Male,25,1,"In a relationship, but not married",Plan Children,No,Other (please specify),Rent,Yes,Canada,Urban,<10 minutes,"College graduate, Bachelor's Degree",108500,91000,375000,900000,19.4,Weekly,Unsure,Mostly Stable,Upper-Middle Class,"No, we did not talk about it",23,23,No,Yes,Yes,Yes,Yes,5,5,3,4,3,4,4,1,Yes
Female,31,1,"In a relationship, but not married",Undecided,No,Office and Administrative Support Occupations,Own,Yes,United States of America,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",53500,60000,800000,1000000,7.5,Daily,Unsure,Mostly Stable,Upper-Middle Class,"No, we did not talk about it",27,27,Yes,Yes,Yes,No,Yes,4,4,1,3,4,4,1,1,Yes
Male,37,2,Married,Have Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",190000,375000,1000000,1500000,38,Multiple times per week,No,Mostly Stable,Middle Class,"No, we did not talk about it",25,34,No,No,No,No,Yes,3,4,2,4,4,4,4,1,Yes
Male,23,1,"Single, never married",Plan Children,No,Architecture and Engineering Occupations,Live with family,No,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",65000,38000,1000000,3000000,4,Monthly,Unsure,Extremely Stable,Extremely Wealthy,"No, we did not talk about it",22,23,No,No,Yes,Yes,Yes,3,4,5,4,4,5,2,1,Yes
Male,33,1,"In a relationship, but not married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,Canada,Urban,10-30 minutes,"College graduate, Bachelor's Degree",150000,100000,2500000,2500000,4,Multiple times a day,Unsure,Mostly Unstable,Middle Class,"Yes, only basic savings and budgeting",27,30,No,No,Yes,Yes,Yes,4,5,4,4,2,5,4,1,Yes
Male,26,2,Married,Plan Children,No,Business and Financial Operations Occupations,Rent,No,United States of America,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",140000,550000,1000000,3000000,50,Daily,No,Extremely Stable,Wealthy,"Yes, including investing and retirement planning",16,25,No,No,No,No,Yes,3,5,2,4,4,4,1,5,Yes
Male,23,2,Married,Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Suburban,<10 minutes,Graduate degree,140000,21000,850000,1700000,0,Weekly,Unsure,Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",20,22,No,Yes,Yes,No,Yes,3,5,3,4,4,5,2,1,Yes
Male,27,2,Married,Do not plan to have children,No,Business and Financial Operations Occupations,Own,No,United Kingdom of Great Britain and Northern Ireland,Urban,<10 minutes,Graduate degree,82600,40000,1000000,3000000,21,Weekly,"Yes, to another country",Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",21,26,No,No,Yes,No,Yes,4,4,4,4,5,5,3,1,Yes
Male,24,1,"Single, never married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United Kingdom of Great Britain and Northern Ireland,Suburban,60-90 minutes,"College graduate, Bachelor's Degree",30000,3000,300000,400000,1,Monthly,"Yes, within my country",Somewhat Unstable,Lower-Middle Class,"Yes, only basic savings and budgeting",16,19,No,Yes,Yes,Yes,Yes,5,5,2,5,2,5,3,1,Yes
Male,35,2,Married,Do not plan to have children,No,Architecture and Engineering Occupations,Own,No,United States of America,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",210000,210000,1666666,2000000,12,Daily,No,Mostly Stable,Lower-Middle Class,"Yes, only basic savings and budgeting",26,28,No,Yes,Yes,No,Yes,1,5,3,3,5,5,3,1,Yes
Male,26,2,Married,Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Urban,<10 minutes,"College graduate, Bachelor's Degree",158000,225000,800000,1500000,20,Multiple times per week,"Yes, nearby",Extremely Stable,Upper-Middle Class,"Yes, including investing and retirement planning",16,23,No,Yes,No,No,Yes,3,3,2,4,2,2,3,1,Yes
Male,33,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",102000,410000,1000000,1750000,40,Monthly,Unsure,Somewhat Stable,Lower-Middle Class,"Yes, only basic savings and budgeting",24,26,No,No,No,No,Yes,4,5,4,4,2,5,5,2,Yes
Male,43,1,"Single, never married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",100000,350000,2000000,1000000,25,Daily,No,Extremely Stable,Middle Class,"No, we did not talk about it",23,40,No,No,No,No,Yes,2,4,4,4,3,4,3,1,Yes
Male,33,1,"Single, never married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Own,Yes,United States of America,Urban,10-30 minutes,Graduate degree,100000,280000,1000000,1000000,30,Monthly,No,Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",20,28,Yes,Yes,Yes,Yes,Yes,4,4,3,4,4,5,3,2,Yes
Male,27,1,Married,Have Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,<10 minutes,"Some college, no degree",81000,40000,3000000,6000000,0.6,Multiple times a day,Unsure,Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",25,25,Yes,Yes,Yes,No,Yes,4,5,4,5,3,4,5,4,Yes
Male,30,2,Married,Have Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,30-60 minutes,Graduate degree,280000,525000,2800000,3000000,35,Weekly,No,Somewhat Stable,Middle Class,"Yes, including investing and retirement planning",16,22,Yes,Yes,No,No,Yes,4,5,4,4,4,4,4,1,Yes
Male,30,2,Married,Have Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",120000,110000,1200000,1200000,8,Multiple times per week,Unsure,Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",28,30,Yes,Yes,Yes,Yes,Yes,4,4,3,3,4,4,4,1,Yes
Male,34,1,Divorced,Plan Children,No,"Education, Training, and Library Occupations",Rent,No,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",92000,10000,1000000,1500000,1,Multiple times per week,No,Extremely Stable,Middle Class,"No, we did not talk about it",28,32,No,Yes,Yes,Yes,Yes,3,4,4,5,5,5,3,1,Yes
Male,24,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",125000,115000,1000000,1500000,12,Multiple times per month,"Yes, within my country",Mostly Stable,Middle Class,"Yes, including investing and retirement planning",21,23,No,Yes,Yes,Yes,Yes,4,5,3,4,3,4,3,1,Yes
Male,25,1,"Single, never married",Undecided,No,Healthcare Support Occupations,Live with family,No,United States of America,Urban,<10 minutes,"College graduate, Bachelor's Degree",54080,125000,1500000,2000000,10,Multiple times per week,Unsure,Mostly Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",18,22,No,No,Yes,No,Yes,3,3,3,3,3,3,3,3,Yes
Male,30,1,"In a relationship, but not married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,Yes,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",55000,60000,1100000,1100000,8,Multiple times per week,Unsure,Mostly Stable,Upper-Middle Class,"No, they were not financially savvy",24,28,No,Yes,Yes,No,Yes,3,5,1,4,3,4,4,1,Yes
Female,27,2,"In a relationship, but not married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Urban,10-30 minutes,Some graduate school,200000,130000,750000,1500000,20,Multiple times per week,"Yes, within my country",Mostly Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",15,24,Yes,Yes,Yes,Yes,Yes,4,5,3,4,3,4,4,2,Yes
Male,31,1,"Single, never married",Undecided,No,Community and Social Service Occupations,Own,No,Norway,Urban,10-30 minutes,Graduate degree,32000,70000,750000,900000,60,Weekly,Unsure,Extremely Stable,Middle Class,"No, we did not talk about it",1,28,No,No,No,No,No,4,4,2,3,3,4,4,1,Yes
Male,24,1,"In a relationship, but not married",Plan Children,No,Business and Financial Operations Occupations,Rent,No,United States of America,Urban,60-90 minutes,"College graduate, Bachelor's Degree",81000,31500,750000,1000000,5,Weekly,Unsure,Mostly Unstable,Middle Class,"No, they were not financially savvy",19,24,No,Yes,No,No,Yes,3,5,3,5,4,3,3,1,Yes
Male,20,1,"Single, never married",Undecided,No,Management Occupations,Live with family,No,United States of America,Suburban,<10 minutes,"Some college, no degree",30000,25000,2000000,2000000,1,Multiple times per month,No,Extremely Stable,Middle Class,"Yes, including investing and retirement planning",15,17,No,No,Yes,Yes,Yes,4,5,1,5,4,5,3,3,Yes
Female,26,2,Married,Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Own,Yes,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",104000,68000,1000000,1000000,9,Daily,No,Somewhat Stable,Middle Class,"Yes, only basic savings and budgeting",16,26,No,Yes,Yes,Yes,Yes,4,5,3,4,3,5,5,1,Yes
Male,27,2,Married,Plan Children,No,Healthcare Practitioners and Technical Occupations,Rent,No,United States of America,Urban,<10 minutes,Graduate degree,147500,7352,5,7,0.0016,Multiple times per week,No,Somewhat Unstable,Poor,"No, we did not talk about it",18,27,No,No,No,No,Yes,3,5,3,5,5,5,2,1,Yes
Male,35,2,Married,Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",275000,675000,2000000,2500000,25,Multiple times per week,"Yes, within my country",Extremely Stable,Middle Class,"Yes, only basic savings and budgeting",23,25,No,No,No,No,No,4,5,4,4,4,5,3,1,Yes
Male,28,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",110000,155000,1250000,1250000,13,Multiple times per week,Unsure,Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",22,27,No,No,No,No,Yes,4,4,2,3,3,4,4,2,Yes
Male,32,1,Married,Plan Children,No,Business and Financial Operations Occupations,Own,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",96000,672000,880000,1100000,73,Multiple times per week,No,Somewhat Stable,Upper-Middle Class,"No, we did not talk about it",22,28,No,Yes,No,No,Yes,4,5,4,5,5,3,1,1,Yes
Male,42,1,"Single, never married",Do not plan to have children,No,Protective Service Occupations,Rent,No,United States of America,Rural,<10 minutes,"College graduate, Bachelor's Degree",41800,38000,1000000,1000000,0,Monthly,Unsure,Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",40,41,No,No,No,No,Yes,4,5,2,3,2,5,5,2,Yes
Male,24,0,"Single, never married",Plan Children,No,Business and Financial Operations Occupations,Rent,Yes,United States of America,Urban,<10 minutes,"College graduate, Bachelor's Degree",75000,67000,1000000,1500000,5,Monthly,Unsure,Somewhat Stable,Middle Class,"Yes, only basic savings and budgeting",18,21,No,Yes,Yes,Yes,Yes,5,5,2,3,5,2,1,1,Yes
Male,30,1,"In a relationship, but not married",Undecided,No,Healthcare Support Occupations,Rent,Yes,Netherlands,Urban,<10 minutes,Graduate degree,75000,145000,600000,1000000,25,Daily,Unsure,Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",15,24,No,Yes,Yes,No,Yes,4,5,3,3,3,4,4,1,Yes
Female,34,2,"Single, never married",Undecided,No,Management Occupations,Rent,Yes,United States of America,Urban,<10 minutes,Graduate degree,240000,144135,2000000,2500000,0,Multiple times per week,"Yes, within my country",Somewhat Unstable,Middle Class,"No, they were not financially savvy",34,34,No,No,Yes,Yes,Yes,3,5,4,5,3,3,2,1,Yes
Male,26,1,"Single, never married",Undecided,No,Management Occupations,Rent,No,Canada,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",80000,200000,2800000,4000000,15,Daily,No,Mostly Stable,Wealthy,"Yes, only basic savings and budgeting",16,17,No,Yes,Yes,Yes,Yes,1,5,5,5,5,3,3,2,Yes
Male,32,1,Married,Have Children,No,Transportation and Materials Moving Occupations,Rent,No,United States of America,Suburban,<10 minutes,Some graduate school,95000,300000,2000000,3000000,15,Monthly,No,Mostly Unstable,Lower-Middle Class,"No, we did not talk about it",21,26,No,No,No,No,Yes,4,3,4,3,5,4,3,2,Yes
Male,26,2,Married,Have Children,No,Office and Administrative Support Occupations,Own,No,United States of America,Suburban,30-60 minutes,Associate's Degree or Trade School,52000,140000,1000000,1250000,15,Daily,No,Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",23,25,No,No,Yes,No,Yes,5,5,3,5,5,4,3,3,Yes
Male,27,2,Married,Undecided,No,Management Occupations,Rent,No,United States of America,Urban,30-60 minutes,"College graduate, Bachelor's Degree",180000,175000,1200000,2000000,13,Daily,Unsure,Mostly Stable,Wealthy,"No, we did not talk about it",23,25,No,Yes,Yes,Yes,Yes,4,5,1,3,2,5,2,1,Yes
Male,30,2,Married,Have Children,No,Business and Financial Operations Occupations,Own,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",108000,0,1500000,1500000,13,Monthly,"Yes, nearby",Somewhat Stable,Middle Class,"No, we did not talk about it",20,25,No,Yes,No,No,Yes,4,4,2,4,4,4,4,4,Yes
Male,24,2,"In a relationship, but not married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United Kingdom of Great Britain and Northern Ireland,Urban,30-60 minutes,Graduate degree,80000,45000,200000,300000,20,Weekly,"Yes, to another country",Somewhat Stable,Lower-Middle Class,"No, they were not financially savvy",22,24,No,No,Yes,Yes,Yes,5,5,2,3,2,5,5,1,Yes
Male,27,1,"In a relationship, but not married",Plan Children,No,Business and Financial Operations Occupations,Rent,Yes,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",280000,250000,2000000,5000000,13,Multiple times per week,Unsure,Mostly Stable,Middle Class,"No, we did not talk about it",25,27,No,No,Yes,No,Yes,4,5,4,4,4,4,3,3,Yes
Male,22,1,"Single, never married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Live with family,No,United States of America,Suburban,10-30 minutes,"Some college, no degree",55000,9000,1000000,2000000,0.9,Multiple times per week,No,Mostly Stable,Middle Class,"No, we did not talk about it",19,19,Yes,Yes,Yes,Yes,Yes,4,5,3,5,4,4,2,2,Yes
Female,28,1,"In a relationship, but not married",Do not plan to have children,No,Architecture and Engineering Occupations,Rent,Yes,United States of America,Urban,30-60 minutes,"College graduate, Bachelor's Degree",116000,203093,875000,1000000,25,Multiple times per week,Unsure,Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",21,26,No,No,Yes,Yes,Yes,4,4,3,4,5,3,2,2,Yes
Male,25,1,"Single, never married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Other (please specify),Work at home,"Some college, no degree",300000,650000,1600000,1800000,68,Multiple times per week,Unsure,Somewhat Stable,Middle Class,"Yes, only basic savings and budgeting",19,21,No,Yes,No,No,Yes,4,5,5,4,2,5,4,1,Yes
Male,24,1,"Single, never married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Urban,<10 minutes,Graduate degree,145000,35000,500000,1500000,6,Weekly,"Yes, within my country",Somewhat Stable,Middle Class,"Yes, only basic savings and budgeting",20,22,Yes,Yes,Yes,Yes,Yes,4,4,3,5,2,4,4,1,Yes
Male,27,1,Divorced,Do not plan to have children,No,Protective Service Occupations,Rent,No,Germany,Urban,10-30 minutes,"College graduate, Bachelor's Degree",110000,185000,2000000,2800000,10,Daily,"Yes, within my country",Mostly Stable,Middle Class,"No, they were not financially savvy",15,25,Yes,No,Yes,No,Yes,4,5,2,3,2,4,4,1,Yes
Male,26,2,"In a relationship, but not married",Undecided,No,Management Occupations,Own,Yes,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",116000,65000,850000,1200000,13,Multiple times per week,"Yes, within my country",Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",26,25,No,No,Yes,No,Yes,4,5,3,5,5,4,1,1,Yes
Male,24,1,"Single, never married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Urban,Work at home,"College graduate, Bachelor's Degree",48500,52000,300000,400000,13,Weekly,Unsure,Mostly Stable,Middle Class,"No, they were not financially savvy",22,22,No,No,Yes,Yes,Yes,4,5,3,4,3,5,5,1,Yes
Male,35,1,Married,Have Children,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,10-30 minutes,Graduate degree,102000,85000,500000,650000,31,Multiple times per week,"Yes, within my country",Mostly Unstable,Lower-Middle Class,"No, they were not financially savvy",25,33,No,No,Yes,No,Yes,4,5,3,4,2,4,2,1,Yes
Male,26,2,Married,Undecided,No,Business and Financial Operations Occupations,Own,No,United States of America,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",130000,135000,1000000,1000000,17,Multiple times a day,"Yes, within my country",Somewhat Stable,Middle Class,"Yes, only basic savings and budgeting",20,23,No,No,No,No,No,4,4,4,3,5,4,3,4,Yes
Male,28,1,Married,Plan Children,No,Architecture and Engineering Occupations,Own,Yes,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",110000,170000,1500000,1500000,13,Daily,Unsure,Mostly Stable,Upper-Middle Class,"Yes, including investing and retirement planning",17,24,No,No,No,No,Yes,3,5,3,4,2,5,4,1,Yes
Male,25,1,"In a relationship, but not married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Urban,10-30 minutes,Graduate degree,75000,4084,1000000,1000000,0.5,Daily,Unsure,Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",20,25,No,Yes,Yes,No,Yes,4,5,4,5,3,4,4,1,Yes
Male,28,2,Married,Plan Children,No,"Life, Physical, and Social Science Occupations",Rent,No,United States of America,Urban,30-60 minutes,Graduate degree,80000,10000,1000000,1000000,1,Monthly,"Yes, within my country",Mostly Stable,Lower-Middle Class,"No, we did not talk about it",27,28,No,No,No,No,No,5,4,4,4,3,3,4,1,Yes
Male,44,2,Married,Have Children,No,"Education, Training, and Library Occupations",Own,No,United States of America,Suburban,60-90 minutes,Graduate degree,91000,90000,650000,650000,15,Daily,"Yes, nearby",Somewhat Unstable,Upper-Middle Class,"Yes, only basic savings and budgeting",35,43,No,No,No,No,Yes,3,4,4,3,4,5,4,1,Yes
Female,28,1,"In a relationship, but not married",Plan Children,No,Community and Social Service Occupations,Own,No,United States of America,Rural,10-30 minutes,"College graduate, Bachelor's Degree",43000,24000,1000000,3000000,2,Weekly,Unsure,Mostly Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",24,26,No,No,No,No,Yes,4,4,3,4,5,4,5,1,Yes
Male,30,2,Married,Do not plan to have children,No,Production and Manufacturing Occupations,Own,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",130000,250000,1000000,1250000,20,Daily,Unsure,Somewhat Unstable,Middle Class,"No, they were not financially savvy",27,28,No,No,No,No,Yes,3,5,3,4,4,5,3,1,Yes
Male,29,2,Married,Have Children,No,Architecture and Engineering Occupations,Own,No,United States of America,Suburban,30-60 minutes,Graduate degree,125000,51000,1500000,1750000,4,Weekly,No,Somewhat Unstable,Lower-Middle Class,"No, they were not financially savvy",22,22,No,No,No,No,Yes,4,4,1,4,5,4,3,1,Yes
Male,24,2,Married,Plan Children,No,Management Occupations,Rent,No,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",92000,2350,3000000,5000000,1,Multiple times per week,"Yes, within my country",Extremely Stable,Wealthy,"No, we did not talk about it",24,24,No,Yes,Yes,Yes,Yes,3,4,3,4,5,4,4,5,Yes
Male,24,2,"In a relationship, but not married",Plan Children,No,Other (please specify),Rent,No,United States of America,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",150000,43000,1500000,2500000,2,Daily,"Yes, within my country",Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",22,22,Yes,Yes,Yes,No,Yes,2,4,3,3,2,4,5,2,Yes
Female,38,1,"Single, never married",Do not plan to have children,No,Office and Administrative Support Occupations,Rent,No,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",70000,68000,300000,500000,16,Multiple times a day,"Yes, nearby",Extremely Stable,Lower-Middle Class,"Yes, only basic savings and budgeting",35,38,No,Yes,Yes,No,Yes,4,4,5,4,5,4,4,4,Yes
Male,30,2,"In a relationship, but not married",Undecided,No,"Licensed Professional (Attorney, Accountant, Engineer)",Rent,No,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",300000,250000,2000000,3000000,15,Multiple times a day,"Yes, within my country",Extremely Unstable,Poor,"No, they were not financially savvy",25,25,No,No,Yes,No,Yes,3,4,1,4,3,4,5,1,Yes
Male,26,2,"In a relationship, but not married",Plan Children,No,"Licensed Professional (Attorney, Accountant, Engineer)",Rent,No,United States of America,Urban,30-60 minutes,"College graduate, Bachelor's Degree",90000,55000,1000000,2000000,7,Weekly,"Yes, within my country",Mostly Unstable,Upper-Middle Class,"Yes, only basic savings and budgeting",23,25,No,No,Yes,Yes,Yes,3,4,2,4,3,4,4,1,Yes
Male,28,1,"Single, never married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",89000,33000,600000,950000,4,Monthly,Unsure,Somewhat Stable,Middle Class,"No, we did not talk about it",27,28,No,No,No,No,Yes,3,4,2,3,3,5,4,1,Yes
Male,38,2,Married,Have Children,No,Architecture and Engineering Occupations,Rent,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",175000,420000,700000,800000,60,Multiple times per week,"Yes, to another country",Mostly Stable,Lower-Middle Class,"Yes, only basic savings and budgeting",25,35,No,Yes,Yes,Yes,Yes,5,5,4,2,4,4,1,1,Yes
Male,35,2,Married,Have Children,No,Business and Financial Operations Occupations,Own,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",0,6500000,15000000,15000000,50,Daily,"Yes, within my country",Mostly Stable,Upper-Middle Class,"Yes, including investing and retirement planning",22,30,No,Yes,No,No,Yes,3,4,2,5,4,5,1,4,Yes
Male,23,1,"Single, never married",Do not plan to have children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",95600,21000,1500000,2000000,1,Daily,Unsure,Extremely Stable,Upper-Middle Class,"Yes, only basic savings and budgeting",21,20,No,No,Yes,No,Yes,2,4,2,3,2,5,5,1,Yes
Male,35,2,Married,Undecided,No,Business and Financial Operations Occupations,Own,No,United States of America,Urban,10-30 minutes,Some graduate school,600000,700000,1000000,2200000,100,Daily,Unsure,Extremely Stable,Wealthy,"Yes, including investing and retirement planning",18,30,No,No,Yes,Yes,Yes,4,4,4,4,5,4,2,2,Yes
Male,33,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Own,No,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",133000,179000,750000,1250000,24,Multiple times per week,Unsure,Somewhat Unstable,Middle Class,"No, they were not financially savvy",28,30,No,No,No,No,Yes,4,4,2,4,4,4,4,1,Yes
Male,26,1,"In a relationship, but not married",Undecided,No,Business and Financial Operations Occupations,Rent,No,United States of America,Urban,<10 minutes,"College graduate, Bachelor's Degree",105000,60000,500000,1200000,12,Weekly,"Yes, within my country",Extremely Unstable,Lower-Middle Class,"Yes, only basic savings and budgeting",22,23,Yes,Yes,No,Yes,Yes,4,5,3,3,4,4,5,1,Yes
Male,27,1,"Single, never married",Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Urban,<10 minutes,"College graduate, Bachelor's Degree",90000,150000,500000,1000000,33,Weekly,No,Extremely Stable,Upper-Middle Class,"No, we did not talk about it",20,26,No,No,No,No,Yes,4,4,2,2,4,5,4,5,Yes
Male,34,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,Germany,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",77000,55000,500000,600000,10,Multiple times per month,Unsure,Mostly Stable,Lower-Middle Class,"No, we did not talk about it",28,32,No,No,No,No,Yes,4,5,3,3,2,5,5,1,Yes
Male,25,1,"In a relationship, but not married",Plan Children,No,Healthcare Support Occupations,Rent,Yes,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",59000,45000,900000,1500000,5,Multiple times per week,Unsure,Mostly Stable,Upper-Middle Class,"Yes, including investing and retirement planning",23,25,No,No,Yes,No,Yes,4,5,2,3,5,4,4,2,Yes
